(662,950)
(878,53)
(675,225)
(14,114)
(528,270)
(866,868)
(253,100)
(827,104)
(955,284)
(399,798)
(339,362)
(78,207)
(51,209)
(570,607)
(808,231)
(503,986)
(826,344)
(511,427)
(961,419)
(771,396)
(831,173)
(929,874)
(244,480)
(30,541)
(490,87)
(981,513)
(465,651)
(341,750)
(638,946)
(349,565)
(495,530)
(82,865)
(120,92)
(765,981)
(43,881)
(280,726)
(719,15)
(716,45)
(995,514)
(770,591)
(48,191)
(343,826)
(211,118)
(323,818)
(734,544)
(362,147)
(448,470)
(885,970)
(926,912)
(166,868)
(481,818)
(2,227)
(296,229)
(269,866)
(601,99)
(352,331)
(724,613)
(133,235)
(504,704)
(150,546)
(345,200)
(112,504)
(480,487)
(542,838)
(111,392)
(416,295)
(190,460)
(597,500)
(714,782)
(303,578)
(373,860)
(871,673)
(692,459)
(906,486)
(192,522)
(707,885)
(366,408)
(223,308)
(32,308)
(55,242)
(877,442)
(874,842)
(415,601)
(132,522)
(278,563)
(740,126)
(853,590)
(284,920)
(656,345)
(185,132)
(770,693)
(200,187)
(624,299)
(811,930)
(805,62)
(602,308)
(572,706)
(327,202)
(965,541)
(298,736)
(667,224)
(641,534)
(981,964)
(462,251)
(985,619)
(599,184)
(956,136)
(531,941)
(67,457)
(853,759)
(572,909)
(83,963)
(317,238)
(408,63)
(761,933)
(757,153)
(761,877)
(464,363)
(546,662)
(133,153)
(228,645)
(379,971)
(333,963)
(254,172)
(511,672)
(602,681)
(52,967)
(373,270)
(965,683)
(205,224)
(464,992)
(41,520)
(639,416)
(322,578)
(529,241)
(232,504)
(551,555)
(758,621)
(771,275)
(87,225)
(335,347)
(585,232)
(594,43)
(380,624)
(678,429)
(305,408)
(815,711)
(757,285)
(902,868)
(295,421)
(308,315)
(542,950)
(191,12)
(787,915)
(941,234)
(896,559)
(116,145)
(252,242)
(16,617)
(637,233)
(430,177)
(398,224)
(855,707)
(902,250)
(92,115)
(493,708)
(710,155)
(166,985)
(171,503)
(825,487)
(459,298)
(96,934)
(517,278)
(574,84)
(723,445)
(952,833)
(866,509)
(369,695)
(191,238)
(922,333)
(432,354)
(270,613)
(640,237)
(200,694)
(360,861)
(730,495)
(981,140)
(221,257)
(74,34)
(316,217)
(487,481)
(263,98)
(661,118)
(276,921)
(895,325)
(153,481)
(861,802)
(219,815)
(377,33)
(654,99)
(20,758)
(378,510)
(652,169)
(376,810)
(431,544)
(860,291)
(194,2)
(965,720)
(461,205)
(10,206)
(716,424)
(76,949)
(605,201)
(84,478)
(562,278)
(746,153)
(70,785)
(583,929)
(512,816)
(869,983)
(602,847)
(561,601)
(351,649)
(884,49)
(853,585)
(462,772)
(871,925)
(488,569)
(556,667)
(308,658)
(281,279)
(444,348)
(831,254)
(593,778)
(716,94)
(119,848)
(205,435)
(462,597)
(821,403)
(309,390)
(425,149)
(442,406)
(359,89)
(403,60)
(894,804)
(736,961)
(169,583)
(608,480)
(779,945)
(181,690)
(522,978)
(491,585)
(798,456)
(943,85)
(820,12)
(86,786)
(826,572)
(3,29)
(285,796)
(313,971)
(871,501)
(648,120)
(170,653)
(284,948)
(822,278)
(7,493)
(241,105)
(280,649)
(995,913)
(461,746)
(419,572)
(347,770)
(566,424)
(180,109)
(629,648)
(910,768)
(871,136)
(194,857)
(843,900)
(600,482)
(389,287)
(46,371)
(203,987)
(686,836)
(716,962)
(728,648)
(998,355)
(675,826)
(149,800)
(484,370)
(246,872)
(476,30)
(821,591)
(371,593)
(406,666)
(894,829)
(682,353)
(83,309)
(288,195)
(149,220)
(541,643)
(744,941)
(215,902)
(793,999)
(60,340)
(454,814)
(902,217)
(702,261)
(181,296)
(698,522)
(461,392)
(562,168)
(237,53)
(268,711)
(36,808)
(763,177)
(701,861)
(238,46)
